스마트쉼터 현황,,,,,
,,,,,
시도,시군구,시설명,설치장소,상세주소,설치년도
서울,중랑구,스마트쉼터,07-179 사가정역 버스정류장,중랑구 면목로 327,2024
서울,중랑구,스마트쉼터,07-247 사가정역 버스정류장,중랑구 사가정로 386,2024
서울,도봉구,스마트쉘터,시내버스정류소,도봉구 도봉로 470-1,2022
서울,도봉구,스마트쉘터,시내버스정류소,도봉구 방학로 217-1,2022
서울,도봉구,스마트쉘터,시내버스정류소,도봉구 도봉로 552,2022
서울,도봉구,스마트쉘터,시내버스정류소,도봉구 방학동 726-74,2023
서울,도봉구,스마트쉘터,시내버스정류소,도봉구 노해로 133,2023
서울,도봉구,스마트쉘터,시내버스정류소,도봉구 도봉동 637-53,2023
서울,서대문구,스마트쉘터,연세로명물거리(13-145),창천동 31-27(투썸플레이스),2023
서울,서대문구,스마트쉘터,DMC파크뷰자이(13-180),남가좌동 385(초록마을),2023
서울,서대문구,스마트쉘터,DMC센트레빌(13-188),남가좌동 381(영진공인중개사),2023
서울,서대문구,스마트쉘터,DMC센트레빌(13-189),남가좌동 385(팔각도),2023
서울,서대문구,스마트쉘터,DMC파크뷰자이(13-339),남가좌동 385(sk텔레콤),2023
서울,서대문구,스마트쉘터,신촌전철역(13-802),창천동 18-50(신촌역3번출구),2023
서울,구로구,스마트쉼터,신도림역 버스정류장(17102) 측면,서울시 구로구 구로동 2-11,2023
서울,구로구,스마트쉼터,온수역 버스정류장(17185) 측면,서울시 구로구 부일로 878-1,2023
서울,강동구,강동형 스마트 에코쉘터,강동구청역1번출구.영파여고 버스정류소,올림픽로566 인근,2020
서울,강동구,강동형 스마트 에코쉘터,천호역5번출구.천호사거리 버스정류소,천호대로 1033 인근,2020
서울,강동구,강동형 스마트 에코쉘터,천호역2번출구.현대백화점 버스정류소,올릭픽로 659 인근,2022
서울,강동구,강동형 스마트 에코쉘터,상일동역4번출구.센트럴푸르지오 버스정류소,고덕로 391 인근,2022
서울,강동구,강동형 스마트 에코쉘터,강동아트센터.강동경희대병원 버스정류소,동남로 885 인근,2022
서울,강동구,강동형 스마트 에코쉘터,상일동역1번출구 버스정류소,고덕로 353 인근,2023
서울,강동구,강동형 스마트 에코쉘터,명일초등학교 버스정류소,고덕로 131 인근,2023
서울,광진구,스마트 안심쉼터,구의어린이공원,서울시 광진구 구의3동 546-2,2023
서울,광진구,스마트 안심쉼터,긴고랑어린이공원,서울시 광진구 중곡4동 68-19,2023
서울,광진구,스마트 안심쉼터,무궁화어린이공원,서울시 광진구 구의3동 206-10,2023
서울,광진구,스마트 안심쉼터,구둘어린이공원,서울시 광진구 구의2동 60-8,2023
서울,광진구,스마트 안심쉼터,개나리어린이공원,서울시 광진구 구의3동 216-5,2023
서울,광진구,스마트 안심쉼터,가중나무어린이공원,서울시 광진구 화양동 32-1,2023
서울,중랑구,"스마트쉼터(공사중, LH)",07-333 양원리 버스정류장,중랑구,2024
서울,중랑구,스마트쉼터(공사중 LH),07-334 양원리 버스정류장,중랑구,2024
